job_name,req_mem,req_cpus,req_gpus,req_duration,actual_duration,submission_time,start_time,end_time,ran_on
job538,10000000,1,0,86400,14,1609547330,1609549581,1609549595,gpuNode1
job541,10000000,1,0,86400,13,1609547330,1609549583,1609549596,gpuNode1
job553,10000000,1,0,86400,10,1609547330,1609549595,1609549605,gpuNode1
job545,10000000,1,0,86400,14,1609547330,1609549596,1609549610,gpuNode1
job568,10000000,1,0,86400,11,1609547598,1609549605,1609549616,gpuNode1
job567,10000000,1,0,86400,11,1609547598,1609549610,1609549621,gpuNode1
job325,20000000,1,0,82800,3975,1609529586,1609545655,1609549630,computeNode2
job566,10000000,1,0,86400,15,1609547598,1609549616,1609549631,gpuNode1
job564,10000000,1,0,86400,16,1609547598,1609549621,1609549637,gpuNode1
job563,10000000,1,0,86400,16,1609547598,1609549631,1609549647,gpuNode1
job562,10000000,1,0,86400,16,1609547598,1609549637,1609549653,gpuNode1
job560,10000000,1,0,86400,15,1609547598,1609549647,1609549662,gpuNode1
job559,10000000,1,0,86400,16,1609547598,1609549653,1609549669,gpuNode1
job558,10000000,1,0,86400,16,1609547598,1609549662,1609549678,gpuNode1
job561,10000000,1,0,86400,15,1609547598,1609549669,1609549684,gpuNode1
job569,10000000,1,0,86400,11,1609547598,1609549678,1609549689,gpuNode1
job577,10000000,1,0,86400,8,1609547598,1609549689,1609549697,gpuNode1
job565,10000000,1,0,86400,16,1609547598,1609549684,1609549700,gpuNode1
job576,10000000,1,0,86400,8,1609547598,1609549697,1609549705,gpuNode1
job575,10000000,1,0,86400,11,1609547598,1609549700,1609549711,gpuNode1
job574,10000000,1,0,86400,12,1609547598,1609549705,1609549717,gpuNode1
job573,10000000,1,0,86400,11,1609547598,1609549711,1609549722,gpuNode1
job572,10000000,1,0,86400,11,1609547598,1609549717,1609549728,gpuNode1
job571,10000000,1,0,86400,11,1609547598,1609549722,1609549733,gpuNode1
job570,10000000,1,0,86400,11,1609547598,1609549728,1609549739,gpuNode1
job326,20000000,1,0,82800,4158,1609529586,1609545584,1609549742,computeNode1
job591,10000000,1,0,86400,11,1609547645,1609549733,1609549744,gpuNode1
job587,10000000,1,0,86400,15,1609547645,1609549739,1609549754,gpuNode1
job595,10000000,1,0,86400,11,1609547645,1609549744,1609549755,gpuNode1
job601,10000000,1,0,86400,5,1609547645,1609549755,1609549760,gpuNode1
job600,10000000,1,0,86400,5,1609547645,1609549760,1609549765,gpuNode1
job583,10000000,1,0,86400,15,1609547645,1609549754,1609549769,gpuNode1
job599,10000000,1,0,86400,11,1609547645,1609549765,1609549776,gpuNode1
job598,10000000,1,0,86400,11,1609547645,1609549769,1609549780,gpuNode1
job597,10000000,1,0,86400,11,1609547645,1609549776,1609549787,gpuNode1
job596,10000000,1,0,86400,12,1609547645,1609549780,1609549792,gpuNode1
job594,10000000,1,0,86400,11,1609547645,1609549787,1609549798,gpuNode1
job593,10000000,1,0,86400,11,1609547645,1609549792,1609549803,gpuNode1
job592,10000000,1,0,86400,11,1609547645,1609549798,1609549809,gpuNode1
job590,10000000,1,0,86400,15,1609547645,1609549803,1609549818,gpuNode1
job589,10000000,1,0,86400,16,1609547645,1609549809,1609549825,gpuNode1
job588,10000000,1,0,86400,16,1609547645,1609549818,1609549834,gpuNode1
job586,10000000,1,0,86400,16,1609547645,1609549825,1609549841,gpuNode1
job585,10000000,1,0,86400,16,1609547645,1609549834,1609549850,gpuNode1
job584,10000000,1,0,86400,15,1609547645,1609549841,1609549856,gpuNode1
job582,10000000,1,0,86400,15,1609547645,1609549850,1609549865,gpuNode1
job613,10000000,1,0,86400,19,1609547772,1609549856,1609549875,gpuNode1
job621,10000000,1,0,86400,9,1609547772,1609549875,1609549884,gpuNode1
job609,10000000,1,0,86400,20,1609547772,1609549865,1609549885,gpuNode1
job625,10000000,1,0,86400,14,1609547772,1609549884,1609549898,gpuNode1
job624,10000000,1,0,86400,14,1609547772,1609549885,1609549899,gpuNode1
job622,10000000,1,0,86400,10,1609547772,1609549899,1609549909,gpuNode1
job623,10000000,1,0,86400,14,1609547772,1609549898,1609549912,gpuNode1
job620,10000000,1,0,86400,9,1609547772,1609549909,1609549918,gpuNode1
job619,10000000,1,0,86400,14,1609547772,1609549912,1609549926,gpuNode1
job618,10000000,1,0,86400,14,1609547772,1609549918,1609549932,gpuNode1
job617,10000000,1,0,86400,14,1609547772,1609549926,1609549940,gpuNode1
job616,10000000,1,0,86400,15,1609547772,1609549932,1609549947,gpuNode1
job615,10000000,1,0,86400,15,1609547772,1609549940,1609549955,gpuNode1
job614,10000000,1,0,86400,19,1609547772,1609549947,1609549966,gpuNode1
job612,10000000,1,0,86400,19,1609547772,1609549955,1609549974,gpuNode1
job611,10000000,1,0,86400,19,1609547772,1609549966,1609549985,gpuNode1
job610,10000000,1,0,86400,19,1609547772,1609549974,1609549993,gpuNode1
job608,10000000,1,0,86400,19,1609547772,1609549985,1609550004,gpuNode1
job607,10000000,1,0,86400,19,1609547772,1609549993,1609550012,gpuNode1
job629,10000000,1,0,86400,6,1609547838,1609550012,1609550018,gpuNode1
job606,10000000,1,0,86400,19,1609547772,1609550004,1609550023,gpuNode1
job637,10000000,1,0,86400,5,1609547838,1609550018,1609550023,gpuNode1
job39,90000000,6,0,1036800,1036820,1608514202,1608514202,1609551002,computeNode1
job40,90000000,6,0,1036800,1036810,1608514392,1608514392,1609551192,computeNode1
job376,12000000,6,0,43200,62,1609535380,1609551192,1609551254,computeNode1
job377,12000000,6,0,43200,62,1609535385,1609551254,1609551316,computeNode1
job41,96000000,6,0,1036800,1036812,1608514539,1608514539,1609551339,computeNode2
job460,8000000,1,0,3600,167,1609542151,1609551316,1609551483,computeNode1
job461,8000000,1,0,3600,29,1609542507,1609551483,1609551512,computeNode1
job462,8000000,1,0,3600,33,1609542761,1609551512,1609551545,computeNode1
job389,32000000,4,0,86400,7004,1609536623,1609544980,1609551984,gpuNode1
job42,84000000,6,0,1036800,1036809,1608515480,1608515480,1609552280,computeNode2
job270,4000000,1,0,90000,8418,1609481868,1609543968,1609552386,computeNode2
job43,120000000,8,0,1036800,1036822,1608515766,1608515766,1609552566,computeNode3
job44,102000000,6,0,1036800,1036812,1608515866,1608515866,1609552666,computeNode3
job773,1000000,1,0,84600,25,1609550846,1609552666,1609552691,computeNode3
job777,1000000,1,0,84600,6,1609550846,1609552691,1609552697,computeNode3
job783,1000000,1,0,84600,12,1609550846,1609552697,1609552709,computeNode3
job771,1000000,1,0,84600,67,1609550846,1609552666,1609552733,computeNode3
job784,1000000,1,0,84600,54,1609550846,1609552709,1609552763,computeNode3
job785,1000000,1,0,84600,14,1609550846,1609552763,1609552777,computeNode3
job791,1000000,1,0,84600,13,1609550846,1609552777,1609552790,computeNode3
job45,102000000,6,0,1036800,1036803,1608515997,1608515997,1609552797,computeNode4
job779,1000000,1,0,84600,10,1609550846,1609552797,1609552807,computeNode4
job781,1000000,1,0,84600,75,1609550846,1609552733,1609552808,computeNode3
job793,1000000,1,0,84600,11,1609550846,1609552797,1609552808,computeNode4
job797,1000000,1,0,84600,9,1609550846,1609552808,1609552817,computeNode3
job792,1000000,1,0,84600,16,1609550846,1609552807,1609552823,computeNode4
job795,1000000,1,0,84600,8,1609550846,1609552817,1609552825,computeNode3
job706,64000000,16,0,345600,39,1609548218,1609552797,1609552836,computeNode4
job798,1000000,1,0,84600,41,1609550846,1609552823,1609552864,computeNode4
job789,1000000,1,0,84600,134,1609550846,1609552790,1609552924,computeNode3
job46,120000000,8,0,1036800,1036803,1608516127,1608516127,1609552927,computeNode4
