job_name,req_mem,req_cpus,req_gpus,req_duration,actual_duration,submission_time,start_time,end_time,ran_on
job111,120000000,32,2,554400,439298,1609349266,1612257786,1612697084,gpuNode1
job122,32000000,32,0,216000,126166,1609378705,1612632229,1612758395,computeNode5
job121,32000000,32,0,216000,126996,1609378705,1612632229,1612759225,computeNode5
job116,32000000,32,0,216000,144014,1609378685,1612632229,1612776243,computeNode3
job115,32000000,32,0,216000,145055,1609378685,1612632229,1612777284,computeNode4
job114,32000000,32,0,216000,200107,1609378685,1612632229,1612832336,computeNode4
job117,32000000,32,0,216000,216019,1609378685,1612632229,1612848229,computeNode3
job118,32000000,32,0,216000,216019,1609378685,1612632229,1612848229,computeNode2
job119,32000000,32,0,216000,216019,1609378685,1612632229,1612848229,computeNode2
job120,32000000,32,0,216000,216019,1609378685,1612632229,1612848229,computeNode1
job124,32000000,32,0,216000,216012,1609394758,1612641489,1612857489,computeNode1
job123,32000000,32,0,216000,216017,1609394758,1612697084,1612913084,gpuNode1
job125,32000000,32,0,216000,168891,1609394767,1612776243,1612945134,computeNode3
job127,32000000,32,0,216000,188566,1609394767,1612758395,1612946961,computeNode5
job126,32000000,32,0,216000,189547,1609394767,1612759225,1612948772,computeNode5
job129,40000000,40,0,216000,172633,1609395724,1612857489,1613030122,computeNode1
job131,40000000,40,0,216000,207501,1609395724,1612832336,1613039837,computeNode4
job130,40000000,40,0,216000,197866,1609395724,1612848229,1613046095,computeNode2
job175,20000000,20,0,518400,4,1609432661,1613046095,1613046099,computeNode4
job137,150000000,20,0,72000,72012,1609415187,1613046095,1613118095,computeNode1
job128,40000000,40,0,216000,174115,1609395724,1612945134,1613119249,computeNode3
job177,20000000,20,0,518400,3,1609436069,1613119249,1613119252,computeNode1
job178,20000000,20,0,518400,3,1609436439,1613119249,1613119252,computeNode3
job139,200000000,1,0,86340,86369,1609424992,1613046095,1613132435,computeNode3
job138,200000000,1,0,86340,86349,1609417210,1613046095,1613132435,computeNode2
job113,120000000,32,2,554400,506879,1609357277,1612632229,1613139108,gpuNode1
job132,40000000,40,0,216000,216029,1609395825,1612948772,1613164772,computeNode5
job182,16000000,16,0,172740,43100,1609438304,1613132435,1613175535,computeNode2
job180,16000000,16,0,172740,44253,1609438303,1613132435,1613176688,computeNode1
job181,16000000,16,0,172740,49978,1609438304,1613132435,1613182413,computeNode4
